,num_words,word_list_size,chars_between,mod_probability,symbol_guesses,total_strength,days_to_crack
264,2,3200,2,0.5,10,6504960000.0,7.528888888888889e-07
265,2,3200,2,0.6,10,8808038399.999998,1.0194488888888887e-06
266,2,3200,2,0.7,10,11459481600.0,1.326328888888889e-06
267,2,3200,2,0.8,10,14459289599.999998,1.6735288888888886e-06
268,2,3200,3,0.5,10,9602560000.0,1.1114074074074075e-06
269,2,3200,3,0.6,10,13002342399.999998,1.5049007407407404e-06
270,2,3200,3,0.7,10,16916377600.0,1.957914074074074e-06
271,2,3200,3,0.8,10,21344665600.0,2.4704474074074074e-06
272,2,3200,4,0.5,10,12700160000.0,1.4699259259259258e-06
273,2,3200,4,0.6,10,17196646399.999996,1.9903525925925923e-06
274,2,3200,4,0.7,10,22373273600.0,2.5894992592592593e-06
275,2,3200,4,0.8,10,28230041599.999996,3.2673659259259254e-06
276,2,3300,2,0.5,10,6917872500.0,8.006796875e-07
277,2,3300,2,0.6,10,9367142399.999998,1.0841599999999997e-06
278,2,3300,2,0.7,10,12186890100.0,1.4105196875e-06
279,2,3300,2,0.8,10,15377115599.999998,1.77975875e-06
280,2,3300,3,0.5,10,10212097500.0,1.1819557291666668e-06
281,2,3300,3,0.6,10,13827686399.999998,1.6004266666666663e-06
282,2,3300,3,0.7,10,17990171100.0,2.0821957291666667e-06
283,2,3300,3,0.8,10,22699551600.0,2.6272629166666666e-06
284,2,3300,4,0.5,10,13506322500.0,1.5632317708333334e-06
285,2,3300,4,0.6,10,18288230399.999996,2.116693333333333e-06
286,2,3300,4,0.7,10,23793452100.0,2.7538717708333333e-06
287,2,3300,4,0.8,10,30021987599.999996,3.4747670833333328e-06
288,2,3400,2,0.5,10,7343490000.0,8.499409722222221e-07
289,2,3400,2,0.6,10,9943449599.999998,1.150862222222222e-06
290,2,3400,2,0.7,10,12936680400.0,1.4973009722222222e-06
291,2,3400,2,0.8,10,16323182399.999998,1.889257222222222e-06
292,2,3400,3,0.5,10,10840390000.0,1.2546747685185184e-06
293,2,3400,3,0.6,10,14678425599.999998,1.6988918518518516e-06
294,2,3400,3,0.7,10,19097004400.0,2.210301435185185e-06
295,2,3400,3,0.8,10,24096126400.0,2.7889035185185188e-06
296,2,3400,4,0.5,10,14337290000.0,1.6594085648148149e-06
297,2,3400,4,0.6,10,19413401599.999996,2.246921481481481e-06
298,2,3400,4,0.7,10,25257328400.0,2.923301898148148e-06
299,2,3400,4,0.8,10,31869070399.999996,3.688549814814814e-06
300,2,3500,2,0.5,10,7781812500.0,9.006727430555555e-07
301,2,3500,2,0.6,10,10536959999.999998,1.2195555555555553e-06
302,2,3500,2,0.7,10,13708852500.0,1.5866727430555555e-06
303,2,3500,2,0.8,10,17297490000.0,2.0020243055555554e-06
304,2,3500,3,0.5,10,11487437500.0,1.329564525462963e-06
305,2,3500,3,0.6,10,15554559999.999998,1.800296296296296e-06
306,2,3500,3,0.7,10,20236877500.0,2.3422311921296298e-06
307,2,3500,3,0.8,10,25534389999.999996,2.9553692129629624e-06
308,2,3500,4,0.5,10,15193062500.0,1.7584563078703706e-06
